chunkID,tokenList,Display Text, col 0, col 1, col 2, col 3, col 4, col 5, col 6, col 7
7B59CB8730F8,"[2C147DDC0B03E, 110FD078CB9A7, 338D5F560F118, 1FA1B19228EE5, 1618433817D04]",it was the old glory, , ,existential it/dey, , , , , 
299436C9F771A,"[203F365627FDB, 54C067D7A1F3, 1500D2D402E46, E5F7D349E886]",we just been together.", ,null copula, , , , , , 
2F9D53474409A,"[FC2AC023B548, 124548502CBA6, 250FE3931F28C]",the restrooms was.", , , ,person number agreement, , , , 
28B382A5F50DE,"[7A4DD100A41E, 7C331813F51]",we talking, ,null copula, , , , , , 
245021C982881,"[BBD2A67A7254, E8EC1F7F085E, 56C2918D520C, 3771CE598F139, 1E4D9E337C1BB, 3296B6D9CA291]",pressure group was the labor unions;, , , , , , , , 
5589A6DAA6E4,"[925D5FE0E79B, ABE6E641B522, 19F4874E4E4F0, 1780A766BD00]",you supposed to be, , , , , , , , 
DD8AAF391FB0,"[117F6432EBB79, 121EE22001491, 3509A3CFA5C75]",what you supposed, , , , , , , , 
D836ADA608E4,"[36BD789C09FCF, E302932B4809, 23DD665064BA, 16C3C5AF50FFB, 197292A103B2F]",daughter was pretty much knowing, , , , , , , , 
1A8D8A897B9B8,"[2B6708A88C34B, 235CE25CBD9DD, 21EB464F03834, 246D8845B4D3F]",you gonna have that;”, , , , , , , , 
246BF3BB68618,"[E83CE589A4C9, 18ABD77097C2E, 26AD614C3A90]",if he wait, , , , , , , , 
83610634BB67,"[20629AE5B2963, 2C51A52950D4C, 32AC206524538, 14594666238A9]",if he going to, , , , , , , , 
196B023E44483,"[3669288432B01, 33F7FBAECBF22, D67C1DC5DD0E, 2BCFF00C04419, 1DB9A5504312F, 1D1FF000F807C, B8FB0E52A2DA, E68DE0EA01DD, 20B142871ACC, 314F7A9FD3DB7]",That’s a; uh; the; that was the; uh; what was, , , , , , , , 
